Culture,Responsibilism,,,,,,,,
Denmark,0.00,,,,,,,,
Norway,14.95,,,,,,,,
Germany,16.79,,,,,,,,
Netherlands,20.41,,,,,,,,
New Zealand,22.37,,,,,,,,
France,25.48,,,,,,,,
Iceland,25.51,,,,,,,,
Belgium,28.45,,,,,,,,
Australia,30.01,,,,,,,,
Switzerland,30.03,,,,,,,,
Sweden,31.05,,,,,,,,
Ireland,31.25,,,,,,,,
Canada,32.28,,,,,,,,
Estonia,33.74,,,,,,,,
Austria,34.57,,,,,,,,
Romania,35.68,,,,,,,,
Greece,35.80,,,,,,,,
Hungary,36.22,,,,,,,,
UK,36.66,,,,,,,,
Slovenia,40.70,,,,,,,,
United States,40.88,,,,,,,,
Cyprus,45.62,,,,,,,,
Puerto Rico,45.74,,,,,,,,
Macedonia,46.82,,,,,,,,
Croatia,46.99,,,,,,,,
Portugal,47.21,,,,,,,,
Italy,47.73,,,,,,,,
Serbia,49.82,,,,,,,,
Chile,52.63,,,,,,,,
Peru,52.70,,,,,,,,
Finland,53.60,,,,,,,,
Poland,55.61,,,,,,,,
Greenland,55.77,,,,,,,,
Slovakia,55.85,,,,,,,,
Brazil,56.01,,,,,,,,
Kazakhstan,56.38,,,,,,,,
Israel,56.38,,,,,,,,
Japan,56.51,,,,,,,,
Ukraine,56.88,,,,,,,,
Russia,58.04,,,,,,,,
Latvia,59.07,,,,,,,,
Spain,59.49,,,,,,,,
Czech Republic,59.58,,,,,,,,
Argentina,59.59,,,,,,,,
Belarus,60.62,,,,,,,,
Total,61.57,,,,,,,,
Uzbekistan,61.77,,,,,,,,
Venezuela,62.01,,,,,,,,
Mexico,62.06,,,,,,,,
Colombia,62.06,,,,,,,,
Costa Rica,62.98,,,,,,,,
Mongolia,63.29,,,,,,,,
South Korea,64.12,,,,,,,,
Trinidad and Tobago,68.79,,,,,,,,
Singapore,69.04,,,,,,,,
Saudi Arabia,69.38,,,,,,,,
Bahamas,69.80,,,,,,,,
Bangladesh,70.17,,,,,,,,
Nicaragua,71.38,,,,,,,,
Malawi,71.38,,,,,,,,
DRC,71.71,,,,,,,,
Nepal,71.91,,,,,,,,
Malaysia,72.00,,,,,,,,
Barbados,72.49,,,,,,,,
Lebanon,72.74,,,,,,,,
Myanmar,72.97,,,,,,,,
South Africa,73.22,,,,,,,,
Zimbabwe,74.51,,,,,,,,
Algeria,74.95,,,,,,,,
Thailand,75.38,,,,,,,,
Nigeria,75.67,,,,,,,,
Indonesia,76.54,,,,,,,,
Philippines,77.22,,,,,,,,
Turkey,77.25,,,,,,,,
Ethiopia,77.60,,,,,,,,
Guyana,78.38,,,,,,,,
Ghana,79.65,,,,,,,,
Uganda,80.60,,,,,,,,
Iran,80.75,,,,,,,,
Oman,81.38,,,,,,,,
Macau,81.60,,,,,,,,
Sri Lanka,81.71,,,,,,,,
Mali,82.06,,,,,,,,
Angola,82.64,,,,,,,,
Pakistan,82.76,,,,,,,,
Mozambique,82.95,,,,,,,,
Ivory Coast,83.33,,,,,,,,
Hong Kong,83.58,,,,,,,,
Morocco,84.09,,,,,,,,
India,84.66,,,,,,,,
Kenya,84.75,,,,,,,,
Vietnam,85.72,,,,,,,,
Namibia,87.01,,,,,,,,
Zambia,87.39,,,,,,,,
Egypt,88.44,,,,,,,,
Iraq,88.49,,,,,,,,
Senegal,88.81,,,,,,,,
Madagascar,89.74,,,,,,,,
Taiwan,90.48,,,,,,,,
China,93.92,,,,,,,,
Kuwait,100.00,,,,,,,,
,,,,,,,,,
,,,,,,,,,
