"","country","control_condition","intervention_condition","pa_effect_size","na_effect_size","optimism_effect_size","ls_effect_size","ladder_effect_size","envy_effect_size","indebted_effect_size"
"Poland","Poland","All","All",0.153371495134062,-0.162666371478084,0.140248215408178,0.0910471659926308,0.0300254637940023,-0.113973079936809,-0.0114402747849073
"Denmark","Denmark","All","All",0.161515046626651,-0.128502515764565,0.169742349254953,0.0618945329575457,0.163536796796795,-0.130829662844046,-0.0290193979215066
"Turkey","Turkey","All","All",0.480658722746074,-0.17059290332586,0.378769093949227,0.0647342835289719,0.00952640621530652,0.133943467740401,-0.097243574665286
"Malaysia","Malaysia","All","All",0.481341242266139,-0.597391412437784,0.306449659694788,-0.0651791344132193,-0.113734478145536,-0.422311369218549,0.0207555284746242
"United States","United States","All","All",0.343217215362324,-0.222015094076932,0.24968227802978,0.123482832559883,0.13601479857783,-0.182997695281164,0.158479675453864
"Nigeria","Nigeria","All","All",0.223778267220397,-0.140431138021761,0.0279543288813456,0.0302790320674615,0.0303836197450382,-0.0946310701533494,0.0901609623798842
"Canada","Canada","All","All",0.688598538620058,-0.399270730965818,0.501346237092732,0.19808161467147,0.307312518162446,-0.317577115856257,0.0962616485577018
"France","France","All","All",0.221528518517312,-0.136479181669367,0.350433900765555,-0.0162020704408895,-0.0338672564766903,-0.326450389452516,0.228066466490976
"Australia","Australia","All","All",0.388259260398246,0.0542638349264886,0.397239334224978,-0.0623993383113165,-0.022272089245254,0.0537188050570094,0.427766926831173
"Chile","Chile","All","All",0.663085100271672,-0.422106736343811,0.474593577607759,0.0780505196112776,-0.0822686144553833,-0.232858923976729,0.201375828638258
"Germany","Germany","All","All",0.576903356994106,-0.322116008169599,0.483059200958692,0.195365371445391,0.226356449599197,-0.231032338403897,0.253401303873033
"Greece","Greece","All","All",0.311817022168336,-0.0037800986755955,0.368016856389368,0.212132048013318,0.200593555192684,0.00685129134580322,0.187707766037852
"Hungary","Hungary","All","All",0.363130685261008,-0.273449332325571,0.127258341596564,0.138362092557561,0.135487889198531,-0.25216951653044,0.0275153519515963
"Israel","Israel","All","All",0.560423725309985,-0.695329110790235,0.39064131575928,0.40137558595581,0.494054169448898,-0.459856985699111,0.03067932615799
"Ireland","Ireland","All","All",0.559089983764974,-0.345437735843656,0.370896323438996,0.13037404716892,0.146016808293002,-0.130110820667291,0.280272298076601
"Mexico","Mexico","All","All",0.836853904833654,-0.590805847404501,0.643578138283297,0.278547798077009,0.12626597019041,-0.325123646342568,0.0546179834884452
"Italy","Italy","All","All",0.363126308780206,-0.425409828766931,0.259240639488088,0.0637122693370178,0.0457012284017875,-0.313889967138078,0.230519544345379
"Portugal","Portugal","All","All",0.480699031743911,-0.162604208603918,0.202623668635261,0.205175920976706,0.0342480561713057,-0.145558625407027,0.0299152163737663
"Brazil","Brazil","All","All",0.21978137122935,-0.154186911629856,0.0676613682206883,0.0931905795677752,0.055855142446114,0.00285001854322105,0.150542219224353
"Netherlands","Netherlands","All","All",0.385720506692547,-0.430864338331056,0.260960463685928,0.302012190808285,0.165747299463428,-0.239756676485658,-0.0606917648035707
"United Kingdom","United Kingdom","All","All",0.373821010163493,-0.342538707887761,0.181453449410395,0.0994698395560377,0.0256605305986356,-0.271719840119613,0.493714096996641
"Spain","Spain","All","All",0.558278054024741,-0.026251695320458,0.310600617223224,0.236836359963512,0.136172831349577,-0.0664289983044119,0.268389885686497
"South Africa","South Africa","All","All",0.52779142412027,-0.594543244934433,0.143396512687833,0.310468266752929,0.119732677486907,-0.524862230455889,0.145938364789141
"South Korea","South Korea","All","All",0.432229988461725,-0.238242703617618,0.283361453677863,0.296307291837938,0.331198335356166,-0.275032320693335,0.141320395542629
"Sweden","Sweden","All","All",0.374104872026851,-0.173000853276582,0.342605422153173,0.212958106275737,0.142676066447909,-0.135679558045778,0.131766452647499
"India","India","All","All",0.330117807658433,-0.116847077371599,-0.133191775005098,0.180180906614994,0.293879374550917,-0.104450807291401,0.128667622819561
"Colombia","Colombia","All","All",0.371269811719894,-0.160241029319852,0.363577013819841,0.0723340051608883,0.221648437216343,0.0557058118837436,0.229316981467182
"China","China","All","All",0.0477304714495593,-0.0464341658751005,-0.0363058037851031,-0.179549981380731,-0.228866652419724,-0.315484231676532,0.451487508520894
"Kazakhstan","Kazakhstan","All","All",0.250478511658672,0.0279000738187592,0.219601275054771,0.031741099013729,0.0926157261125179,0.0230971297303912,0.0894039830697199
"Norway","Norway","All","All",0.0271768882707583,0.0686481698400865,0.183362360108335,0.0978305340633025,-0.0142106362839967,-0.0110553802202953,0.527970702308414
"Japan","Japan","All","All",0.14957673684486,0.0375157228844347,0.138505508571211,0.00365589715939572,-0.0542390929217616,0.0804078288870503,0.239269033054861
"Ghana","Ghana","All","All",0.182748042027715,-0.0715698541073566,0.162652392216006,-0.0185768331530345,-0.0422947896924839,-0.0537664081786714,0.188745101071604
"Thailand","Thailand","All","All",0.129198841456296,0.142734887947149,-0.056018836458976,0.0774580074761056,-0.0076873057478413,-0.0896975079073852,0.0449360266396014
"Macedonia","Macedonia","All","All",0.0962647684755991,0.0851131066007606,-0.0885962799232204,-0.11223748002639,-0.021758202698825,0.118462415956425,0.056321013375181
